index,xo,yo,xd,yd,volume
0,-73.572327,45.637332,-73.819823,45.444264,38
1,-73.80681,45.490949,-73.594996,45.515326,50
2,-73.895131,45.438153,-73.601598,45.637986,52
3,-73.654881,45.519592,-73.706257,45.502434,68
4,-73.823036,45.489323,-73.691986,45.446357,38
5,-73.659427,45.507649,-73.556517,45.461411,27
6,-73.748412,45.436962,-73.620866,45.531879,75
7,-73.631419,45.538888,-73.513325,45.645652,70
8,-73.738567,45.525359,-73.611774,45.577895,81
9,-73.608943,45.514605,-73.604384,45.597149,18
10,-73.571708,45.479769,-73.614107,45.632161,12
11,-73.648105,45.517647,-73.867397,45.483355,34
12,-73.692345,45.53921,-73.771497,45.504055,13
13,-73.595585,45.544328,-73.899142,45.413526,80
14,-73.834029,45.470755,-73.526584,45.588739,36
15,-73.602224,45.640127,-73.638277,45.470853,49
16,-73.775168,45.44431,-73.610893,45.517555,53
17,-73.563529,45.660891,-73.891009,45.447603,78
18,-73.590362,45.486193,-73.664345,45.462364,82
19,-73.719937,45.464397,-73.909484,45.460479,55
20,-73.566387,45.538053,-73.66073,45.476804,47
21,-73.669757,45.464411,-73.571913,45.518826,57
22,-73.648347,45.471327,-73.562979,45.478669,46
23,-73.667051,45.558319,-73.687235,45.514205,94
24,-73.744645,45.438373,-73.676401,45.541324,96
25,-73.848322,45.47181,-73.575319,45.609161,46
26,-73.577393,45.535205,-73.626145,45.541642,90
27,-73.686542,45.435889,-73.577402,45.635883,52
28,-73.5679,45.452908,-73.642347,45.558314,56
29,-73.630089,45.415408,-73.688325,45.503833,26
30,-73.840648,45.432224,-73.760886,45.445394,60
31,-73.548454,45.474507,-73.506226,45.633436,47
32,-73.653767,45.522423,-73.595585,45.544328,20
33,-73.888925,45.425629,-73.856154,45.483244,82
34,-73.495778,45.634831,-73.568233,45.470359,83
35,-73.556955,45.613907,-73.734055,45.443319,73
36,-73.65017,45.484312,-73.662226,45.459398,81
37,-73.693023,45.513119,-73.878162,45.472614,94
38,-73.845864,45.431099,-73.88597,45.481511,75
39,-73.614127,45.489461,-73.597058,45.560281,7
40,-73.711089,45.436364,-73.633486,45.451284,52
41,-73.491688,45.697008,-73.628874,45.60984,94
42,-73.653068,45.478966,-73.737055,45.471179,12
43,-73.916731,45.41829,-73.628412,45.419251,40
44,-73.544558,45.597854,-73.709185,45.445007,4
45,-73.633886,45.600664,-73.643242,45.45156,62
46,-73.693086,45.444445,-73.616269,45.445234,17
47,-73.650035,45.437185,-73.576582,45.545295,63
48,-73.594316,45.465176,-73.577255,45.606151,69
49,-73.692208,45.52208,-73.839435,45.454194,38
50,-73.629052,45.415546,-73.596513,45.628297,45
51,-73.647761,45.492168,-73.587829,45.58149,74
52,-73.576954,45.571222,-73.700149,45.528096,4
53,-73.847504,45.494767,-73.632973,45.610349,36
54,-73.590609,45.525553,-73.664612,45.438819,43
55,-73.550247,45.528143,-73.630031,45.472588,38
56,-73.649875,45.437199,-73.727515,45.511935,87
57,-73.548134,45.52718,-73.576769,45.463194,3
58,-73.651697,45.420916,-73.619565,45.479161,40
59,-73.668702,45.529259,-73.58923,45.447016,70
60,-73.565841,45.471777,-73.840831,45.468132,26
61,-73.611427,45.54589,-73.630564,45.433473,19
62,-73.561151,45.47995,-73.607017,45.513299,5
63,-73.56945,45.51904,-73.539398,45.479813,25
64,-73.592897,45.475656,-73.598732,45.613895,91
65,-73.816318,45.482452,-73.539032,45.589907,59
66,-73.595666,45.493682,-73.619196,45.494971,10
67,-73.589751,45.574912,-73.763714,45.452636,54
68,-73.639566,45.541248,-73.513561,45.644981,97
69,-73.89946,45.446528,-73.703835,45.442051,42
70,-73.901582,45.513454,-73.582458,45.454469,68
71,-73.795263,45.449426,-73.613955,45.444121,50
72,-73.589572,45.450798,-73.556131,45.552873,81
73,-73.596614,45.450545,-73.69625,45.49486,42
74,-73.661176,45.500287,-73.552611,45.450623,14
75,-73.863869,45.457809,-73.663492,45.546233,31
76,-73.647358,45.48997,-73.612375,45.580418,61
77,-73.608357,45.577673,-73.522695,45.493808,7
78,-73.578274,45.53358,-73.806223,45.436784,52
79,-73.548269,45.625918,-73.625744,45.452486,72
80,-73.720715,45.520411,-73.558927,45.608394,82
81,-73.849967,45.489025,-73.744217,45.440475,35
82,-73.870785,45.492961,-73.931309,45.40614,34
83,-73.532694,45.600245,-73.652812,45.454284,72
84,-73.923751,45.406404,-73.64572,45.514679,35
85,-73.585397,45.545131,-73.604231,45.485754,3
86,-73.634032,45.498392,-73.706535,45.541629,13
87,-73.559209,45.488721,-73.603269,45.437652,4
88,-73.632617,45.516476,-73.541733,45.585358,56
89,-73.637125,45.479248,-73.687653,45.537439,33
90,-73.629418,45.615512,-73.600996,45.56855,87
91,-73.632188,45.605431,-73.72334,45.512101,72
92,-73.574073,45.477967,-73.508319,45.628414,38
93,-73.534755,45.519403,-73.704606,45.542505,82
94,-73.653343,45.481563,-73.917816,45.412376,73
95,-73.887027,45.461885,-73.483782,45.699409,36
96,-73.591433,45.5246,-73.598629,45.56464,56
97,-73.874942,45.474143,-73.619176,45.515704,57
98,-73.598671,45.63872,-73.829365,45.470559,53
99,-73.580102,45.463284,-73.553751,45.565213,50
100,-73.606603,45.466096,-73.725802,45.51428,66
101,-73.63514,45.572227,-73.824964,45.442064,79
102,-73.497565,45.696502,-73.575675,45.463144,8
103,-73.645733,45.507592,-73.561242,45.448334,49
104,-73.846238,45.434069,-73.703349,45.503134,45
105,-73.618528,45.479424,-73.54963,45.601852,15
106,-73.84956,45.463638,-73.880682,45.427065,35
107,-73.66364,45.535717,-73.652699,45.45644,85
108,-73.650708,45.511316,-73.501428,45.644589,21
109,-73.657556,45.442661,-73.597841,45.5271,22
110,-73.578751,45.510115,-73.581766,45.438604,47
111,-73.636261,45.613455,-73.62557,45.524763,14
112,-73.632861,45.610245,-73.617705,45.510946,6
113,-73.636285,45.418922,-73.693538,45.484537,46
114,-73.515353,45.605924,-73.680838,45.50967,43
