od_name,No (km),Advisory bike lane (km),Bus lane with cycling allowed (km),Dedicated bike path (km),Painted bike lane (km),Protected bike lane (km),Shared bike path (km),Shared zone (km),Sharrow (km),cycle (km),No (%),Advisory bike lane (%),Bus lane with cycling allowed (%),Dedicated bike path (%),Painted bike lane (%),Protected bike lane (%),Shared bike path (%),Shared zone (%),Sharrow (%),crow (km),cycle-crow (km),cycle/crow (%)
jb-sb,0.0,0.5894973470307168,0.0,0.7973799658939428,2.2964024669449,4.551182316907308,0.0,0.0,0.28453152989447916,8.518993626671348,0.0,6.919800305814443,0.0,9.360025383720183,26.95626464322383,53.42394320684103,0.0,0.0,3.3399664604004995,6.1330460864673,2.3859475402040475,138.9031405693933
mt_1,3.2307592991204443,0.0,0.023311899011643853,1.2677621111226582,6.146585428094207,1.0779096547090585,1.3028927287914813,0.0,0.4461600655911011,13.495381186440596,23.939740971277867,0.0,0.17273983364816956,9.394044477946533,45.545845227921035,7.9872486728428385,9.65436033848792,0.0,3.306020477875629,8.214555815615002,5.280825370825594,164.2861950099274
mt_2,3.723126428175512,0.0,0.0,0.6589911838156097,3.0701039374823478,1.161682389477909,1.7890771177988527,0.07310838551747333,0.0,10.476089442267703,35.53927683314612,0.0,0.0,6.290431056810082,29.305820214701974,11.088893387936231,17.077719006297265,0.6978595011083444,0.0,6.575958883484965,3.900130558782738,159.30892555574866
mt_3,3.125634777223498,0.0,0.0,3.754334988134825,1.8373173734902244,0.0,1.314493427152247,0.0,0.0,10.031780566000794,31.15732802027929,0.0,0.0,37.42441297867727,18.314967730825053,0.0,13.10329127021839,0.0,0.0,7.42230639249127,2.6094741735095237,135.1571874767846
sb-jb,0.013695297548307539,0.5894973470307168,0.0,0.7991070141934059,1.3942429371735507,5.1798497072696765,0.1602956353223035,0.0,0.2812899418798643,8.417977880417824,0.1626910612365232,7.002837919092479,0.0,9.49286189088611,16.56268235649424,61.53318268178409,1.9042059458862262,0.0,3.3415381446203387,6.0826969039473004,2.335280976470524,138.3921969703121
sb-sf,0.0,0.5894973470307168,1.4721990180075468,2.681486174494089,0.026453384731468972,0.8186893019371857,0.0,0.0,0.09670513789646598,5.685030364097472,0.0,10.369291090396885,25.896062531255556,47.16749080934397,0.4653165073405652,14.400790312527324,0.0,0.0,1.7010487491357211,3.647149130926834,2.0378812331706384,155.87600506625733
sb-systra,0.4266755252646896,0.5894973470307168,0.0,4.533843717017058,1.3341453244008064,1.9803716914150948,0.27404829714902534,0.0,0.09670513789646598,9.235287040173857,4.6200569988635385,6.383097184379657,0.0,49.092612901955974,14.446170634407167,21.443531563235677,2.9674042177238737,0.0,1.0471264994341256,6.463940032219604,2.771347007954253,142.87395913545657
sf-sb,0.0,0.5894973470307168,1.4721990180075468,2.681486174494089,0.026453384731468976,0.8186893019371857,0.0,0.0,0.09670513789646598,5.685030364097472,0.0,10.369291090396885,25.896062531255556,47.16749080934397,0.4653165073405652,14.400790312527324,0.0,0.0,1.7010487491357211,3.647149130926834,2.0378812331706384,155.87600506625733
sf-systra,0.4266755252646896,0.0,0.36704922704386156,2.463124505379813,1.796747015159831,1.161682389477909,0.27404829714902534,0.0,0.0,6.48932695947513,6.575035098850991,0.0,5.6561986988177475,37.95654804822834,27.68772518907193,17.9014310225458,4.223061942485187,0.0,0.0,4.571684659066814,1.9176423004083158,141.94607553705927
systra-sf,0.5076922252182804,0.0,0.36704922704386156,2.463124505379813,1.7967470151598308,1.161682389477909,0.3674137841871223,0.0,0.0,6.663709146466817,7.618763275216855,0.0,5.508181989582719,36.96326552136197,26.963166843986414,17.432969596127222,5.5136527737248215,0.0,0.0,4.560271577737744,2.103437568729073,146.12526979747432
systra_sb,0.5213778568110705,0.5894973470307168,0.0,4.533843717017058,1.3341453244008064,1.9803716914150946,0.3674137841871223,0.0,0.09670513789646598,9.423354858758334,5.532826308949696,6.255705700001536,0.0,48.11284075546805,14.157859322901482,21.015569519537735,3.89897005571893,0.0,1.0262283374225845,6.463940032219604,2.9594148265387297,145.78345114260782
trip,3.1712249657691998,0.5894973470307168,0.0,1.5052121632692668,3.339410252410808,2.510395621594787,8.737174139016279,0.0,0.6098872454333046,20.462801734524362,15.497511078450136,2.8808242130212824,0.0,7.355845904178937,16.319418502582824,12.26809336357546,42.69783899765359,0.0,2.9804679405377668,16.839793718853443,3.6230080156709192,121.5145629225534
